question,correct,wrong1,wrong2,blank_sentence,original_context,context_translation
〜にとって不可欠である,is essential for,is irrelevant to,is resistant to,Rapid and reliable detection of pathogens [   ] effective infection control.,"Rapid and reliable detection of carbapenemase-producing Enterobacterales (CPE) is essential for infection control, epidemiological surveillance, and optimized antimicrobial therapy.",カルバペネマーゼ産生腸内細菌目細菌（CPE）の迅速かつ信頼性の高い検出は、感染対策、疫学サーベイランス、および最適化された抗菌薬療法にとって不可欠である。
〜において重要な役割を果たす,play a critical role in,make a minor impact on,show a weak correlation with,Laboratory-developed methods [   ] guiding targeted antimicrobial therapy.,"In this context, laboratory-developed methods, such as combination testing of aztreonam and ceftazidime-avibactam, play a critical role in guiding therapy.",このような状況において、アズトレオナムとセフタジジム-アビバクタムの併用試験などの自家調製検査法は、治療指針の策定において重要な役割を果たす。
〜に重大な脅威をもたらす,pose a major threat to,offer a strong benefit to,cause a temporary delay to,Resistant organisms [   ] global health due to limited therapeutic options.,Carbapenem-resistant organisms (CROs) pose a major threat to global health due to limited therapeutic options and their capacity for rapid dissemination.,カルバペネム耐性菌（CRO）は、治療法が限られていることや迅速に拡大する能力をもつことから、世界的な保健衛生に重大な脅威をもたらしている。
最も重大な懸念事項である,are of greatest concern,are of minimal value,are of unknown origin,"Among these pathogens, carbapenemase-producing strains [   ] due to their broad resistance.","Among these, carbapenemase-producing (CP) strains are of greatest concern, as they hydrolyze most β-lactams, and carbapenemase genes are readily spread via mobile genetic elements.",これらの中で、カルバペネマーゼ産生（CP）株はほとんどのβ-ラクタム系薬を加水分解し、カルバペネマーゼ遺伝子が可動性遺伝要素を介して容易に伝播するため、最も重大な懸念事項である。
〜するために更なる取り組みが必要である,further work is needed to,no effort is required to,prior data is sufficient to,"Tests can be highly variable, and [   ] improve standardization.","LDTs for combination testing can be highly variable, and further work is needed to improve standardization and harmonization to achieve accurate and reliable results for clinical purposes.",併用試験のための自家調製検査はばらつきが大きくなる可能性があり、臨床目的で正確かつ信頼性の高い結果を得るには、標準化と調和を改善するために更なる取り組みが必要である。
〜することを試みた／目指した,sought to,refused to,failed to,We [   ] compare the diagnostic performance of four phenotypic methods.,"We sought to compare the performance of four phenotypic methods, up to three reagent manufacturers, and two media manufacturers.",我々は、4つの表現型検査法、最大3社の試薬メーカー、および2社の培地メーカーの性能を比較することを試みた。
〜と比較された,were compared to,were isolated from,were converted into,The new phenotypic methods [   ] reference microdilution methods tested in parallel.,"The performance of four methods was evaluated: broth disk elution (BDE), disk stacking (DS), gradient diffusion strip stacking (SS), and a strip-to-disk proximity (strip-disk) method, which were compared to reference broth microdilution (rBMD) tested in parallel.",ブロスディスク溶出法（BDE）、ディスクスタッキング法（DS）、勾配拡散ストリップスタッキング法（SS）、およびストリップ-ディスク近接法の4つの方法の性能が評価され、並行してテストされた標準的な微量液体希釈法（rBMD）と比較された。
このような状況において,In this context,In contrast to,In addition to,"[   ], laboratory-developed testing plays an essential role.","In this context, laboratory-developed methods, such as combination testing of aztreonam and ceftazidime-avibactam, play a critical role in guiding therapy.",このような状況において、アズトレオナムとセフタジジム-アビバクタムの併用試験などの自家調製検査法は、治療指針の策定において重要な役割を果たす。
本研究は〜を評価する,This study evaluates,This study ignores,This study contradicts,[   ] an automated solution integrating expert rules for pathogen detection.,This study evaluates an automated solution integrating the VITEK2 Advanced Expert System and BIOART expert rules for CPE detection and classification in a representative French epidemiological context.,本研究は、代表的なフランスの疫学的状況におけるCPEの検出および分類のための、VITEK2 Advanced Expert SystemとBIOARTエキスパートルールを統合した自動化ソリューションを評価する。
世界的な公衆衛生上の懸念事項である,is a global public health concern,is a rare localized phenomenon,is a resolved medical issue,The spread of drug-resistant bacteria [   ].,Metallo-beta-lactamase (MBL)-producing Enterobacterales are a global public health concern.,メタロ-β-ラクタマーゼ（MBL）産生腸内細菌目細菌は、世界的な公衆衛生上の懸念事項である。
